sale_id,date_key,store_id,product_id,quantity,unit_price,discount_pct,revenue
1,20250726,S001,P0001,10,29.05,0.0,290.5
2,20250727,S001,P0001,5,29.05,0.0,145.25
3,20250728,S001,P0001,7,29.05,0.0,203.35
4,20250729,S001,P0001,1,29.05,0.0,29.05
5,20250730,S001,P0001,4,29.05,0.0,116.2
6,20250731,S001,P0001,6,29.05,0.0,174.3
7,20250801,S001,P0001,8,29.05,0.0,232.4
8,20250802,S001,P0001,8,29.05,0.0,232.4
9,20250803,S001,P0001,3,29.05,0.0,87.15
10,20250804,S001,P0001,8,29.05,0.0,232.4
11,20250805,S001,P0001,7,29.05,0.0,203.35
12,20250806,S001,P0001,3,29.05,0.0,87.15
13,20250807,S001,P0001,5,29.05,0.0,145.25
14,20250808,S001,P0001,3,29.05,0.13,75.82
15,20250809,S001,P0001,7,29.05,0.0,203.35
16,20250810,S001,P0001,3,29.05,0.0,87.15
17,20250811,S001,P0001,4,29.05,0.0,116.2
18,20250812,S001,P0001,3,29.05,0.0,87.15
19,20250813,S001,P0001,8,29.05,0.0,232.4
20,20250814,S001,P0001,7,29.05,0.0,203.35
21,20250815,S001,P0001,6,29.05,0.0,174.3
22,20250816,S001,P0001,12,29.05,0.0,348.6
23,20250817,S001,P0001,6,29.05,0.0,174.3
24,20250818,S001,P0001,6,29.05,0.0,174.3
25,20250819,S001,P0001,7,29.05,0.0,203.35
26,20250820,S001,P0001,9,29.05,0.0,261.45
27,20250821,S001,P0001,3,29.05,0.0,87.15
28,20250822,S001,P0001,8,29.05,0.0,232.4
29,20250823,S001,P0001,11,29.05,0.0,319.55
30,20250824,S001,P0001,7,29.05,0.0,203.35
31,20250825,S001,P0001,8,29.05,0.0,232.4
32,20250826,S001,P0001,8,29.05,0.0,232.4
33,20250827,S001,P0001,3,29.05,0.0,87.15
34,20250828,S001,P0001,4,29.05,0.0,116.2
35,20250829,S001,P0001,1,29.05,0.0,29.05
36,20250830,S001,P0001,10,29.05,0.0,290.5
37,20250831,S001,P0001,6,29.05,0.0,174.3
38,20250901,S001,P0001,6,29.05,0.0,174.3
39,20250902,S001,P0001,4,29.05,0.0,116.2
40,20250903,S001,P0001,5,29.05,0.0,145.25
41,20250904,S001,P0001,8,29.05,0.0,232.4
42,20250905,S001,P0001,5,29.05,0.0,145.25
43,20250906,S001,P0001,8,29.05,0.0,232.4
44,20250907,S001,P0001,4,29.05,0.0,116.2
45,20250908,S001,P0001,9,29.05,0.0,261.45
46,20250909,S001,P0001,10,29.05,0.0,290.5
47,20250910,S001,P0001,2,29.05,0.0,58.1
48,20250911,S001,P0001,4,29.05,0.0,116.2
49,20250912,S001,P0001,4,29.05,0.0,116.2
50,20250913,S001,P0001,10,29.05,0.0,290.5
51,20250914,S001,P0001,10,29.05,0.1,261.45
52,20250915,S001,P0001,5,29.05,0.0,145.25
53,20250916,S001,P0001,3,29.05,0.0,87.15
54,20250917,S001,P0001,4,29.05,0.0,116.2
55,20250918,S001,P0001,6,29.05,0.0,174.3
56,20250919,S001,P0001,12,29.05,0.0,348.6
57,20250920,S001,P0001,6,29.05,0.0,174.3
58,20250921,S001,P0001,4,29.05,0.0,116.2
59,20250922,S001,P0001,2,29.05,0.0,58.1
60,20250923,S001,P0001,12,29.05,0.0,348.6
61,20250924,S001,P0001,9,29.05,0.0,261.45
62,20250925,S001,P0001,6,29.05,0.0,174.3
63,20250926,S001,P0001,6,29.05,0.0,174.3
64,20250927,S001,P0001,4,29.05,0.0,116.2
65,20250928,S001,P0001,8,29.05,0.0,232.4
66,20250929,S001,P0001,3,29.05,0.0,87.15
67,20250930,S001,P0001,8,29.05,0.0,232.4
