sales_month,monthly_revenue,prior_month_revenue,mom_growth_pct
2025-07,479277.94,,
2025-08,2566961.1,479277.94,435.59
2025-09,2442675.67,2566961.1,-4.84
2025-10,2532291.7,2442675.67,3.67
2025-11,3558544.66,2532291.7,40.53
2025-12,3509209.22,3558544.66,-1.39
2026-01,2133044.18,3509209.22,-39.22
2026-02,1935057.06,2133044.18,-9.28
2026-03,2540447.42,1935057.06,31.29
2026-04,2411775.0,2540447.42,-5.06
2026-05,2570090.38,2411775.0,6.56
2026-06,2439617.12,2570090.38,-5.08
2026-07,2044614.89,2439617.12,-16.19
