sales_month,category,units_sold,total_revenue,avg_selling_price
2025-07,Footwear,1334,162693.88,117.33
2025-07,Beauty,1224,107000.42,89.18
2025-07,Home Goods,1478,87457.71,63.89
2025-07,Apparel,1072,79258.63,80.58
2025-07,Electronics,766,42867.3,64.66
2025-08,Footwear,7271,888235.72,117.37
2025-08,Beauty,6574,566974.92,89.14
2025-08,Home Goods,7852,461365.09,63.12
2025-08,Apparel,5786,427718.97,80.03
2025-08,Electronics,3950,222666.4,64.55
2025-09,Footwear,6875,840338.98,117.47
2025-09,Beauty,6287,537234.65,88.64
2025-09,Home Goods,7513,439121.67,63.3
2025-09,Apparel,5629,410354.45,78.87
2025-09,Electronics,3835,215625.92,64.23
2025-10,Footwear,7112,865321.6,117.05
2025-10,Beauty,6517,563177.06,89.3
2025-10,Home Goods,7688,451581.97,63.24
2025-10,Apparel,5768,426812.84,79.7
2025-10,Electronics,3998,225398.23,64.62
2025-11,Footwear,10272,1249387.54,116.82
2025-11,Beauty,9337,801979.3,88.9
2025-11,Apparel,8177,595521.61,80.32
2025-11,Home Goods,10355,590965.48,63.87
2025-11,Electronics,5699,320690.73,65.16
2025-12,Footwear,10146,1232944.85,116.77
2025-12,Beauty,9209,797824.53,89.48
2025-12,Home Goods,10300,586172.14,63.01
2025-12,Apparel,7900,572852.97,79.08
2025-12,Electronics,5690,319414.73,65.33
2026-01,Footwear,5944,730710.15,117.33
2026-01,Beauty,5516,475592.11,89.07
2026-01,Home Goods,6385,373720.43,63.06
2026-01,Apparel,4949,363736.29,79.22
2026-01,Electronics,3338,189285.2,64.15
2026-02,Footwear,5491,667414.1,117.73
2026-02,Beauty,4942,425177.63,88.84
2026-02,Home Goods,6015,350284.63,63.02
2026-02,Apparel,4399,328223.02,79.58
2026-02,Electronics,2903,163957.68,63.93
2026-03,Footwear,7245,886880.75,117.42
2026-03,Beauty,6442,549706.42,89.05
2026-03,Home Goods,7795,455125.78,63.37
2026-03,Apparel,5800,430401.59,79.7
2026-03,Electronics,3889,218332.88,64.12
2026-04,Footwear,6814,827720.1,117.0
2026-04,Beauty,6245,537474.62,89.09
2026-04,Home Goods,7437,429001.95,63.21
2026-04,Apparel,5618,407899.55,79.25
2026-04,Electronics,3740,209678.78,64.18
2026-05,Footwear,7257,885976.11,117.31
2026-05,Beauty,6623,574246.3,89.09
2026-05,Home Goods,7855,461166.12,63.57
2026-05,Apparel,5850,427258.63,79.22
2026-05,Electronics,3923,221443.22,64.63
2026-06,Footwear,6848,834600.63,117.15
2026-06,Beauty,6372,547001.94,89.22
2026-06,Home Goods,7372,431165.83,63.2
2026-06,Apparel,5549,415133.48,80.37
2026-06,Electronics,3740,211715.24,64.47
2026-07,Footwear,5714,698704.59,117.07
2026-07,Beauty,5331,460066.81,89.35
2026-07,Home Goods,6216,365010.09,63.38
2026-07,Apparel,4656,341972.77,79.49
2026-07,Electronics,3151,178860.63,64.7
