store_id,sales_month,monthly_revenue,running_total_revenue
S001,2025-07,55721.35,55721.35
S001,2025-08,281282.31,337003.66
S001,2025-09,263877.07,600880.73
S001,2025-10,283418.51,884299.24
S001,2025-11,396331.84,1280631.08
S001,2025-12,385217.95,1665849.03
S001,2026-01,235325.37,1901174.4
S001,2026-02,207774.37,2108948.77
S001,2026-03,281949.99,2390898.76
S001,2026-04,268711.82,2659610.58
S001,2026-05,283402.06,2943012.64
S001,2026-06,267787.04,3210799.68
S001,2026-07,227593.73,3438393.41
S002,2025-07,58315.34,58315.34
S002,2025-08,294749.76,353065.1
S002,2025-09,284655.02,637720.12
S002,2025-10,289918.08,927638.2
S002,2025-11,409648.67,1337286.87
S002,2025-12,410648.92,1747935.79
S002,2026-01,252928.36,2000864.15
S002,2026-02,222809.02,2223673.17
S002,2026-03,291681.79,2515354.96
S002,2026-04,283220.12,2798575.08
S002,2026-05,300415.24,3098990.32
S002,2026-06,283575.83,3382566.15
S002,2026-07,231312.68,3613878.83
S003,2025-07,38183.97,38183.97
S003,2025-08,220584.44,258768.41
S003,2025-09,207261.89,466030.3
S003,2025-10,215396.6,681426.9
S003,2025-11,296004.89,977431.79
S003,2025-12,293112.33,1270544.12
S003,2026-01,176339.41,1446883.53
S003,2026-02,161294.69,1608178.22
S003,2026-03,210364.33,1818542.55
S003,2026-04,197245.87,2015788.42
S003,2026-05,216054.27,2231842.69
S003,2026-06,205711.93,2437554.62
S003,2026-07,167179.69,2604734.31
S004,2025-07,56701.57,56701.57
S004,2025-08,310265.0,366966.57
S004,2025-09,301809.71,668776.28
S004,2025-10,302075.65,970851.93
S004,2025-11,441249.43,1412101.36
S004,2025-12,417210.17,1829311.53
S004,2026-01,260253.5,2089565.03
S004,2026-02,237417.25,2326982.28
S004,2026-03,301412.92,2628395.2
S004,2026-04,287654.23,2916049.43
S004,2026-05,305731.85,3221781.28
S004,2026-06,294939.39,3516720.67
S004,2026-07,256125.24,3772845.91
S005,2025-07,28844.66,28844.66
S005,2025-08,148609.18,177453.84
S005,2025-09,135856.19,313310.03
S005,2025-10,141102.26,454412.29
S005,2025-11,193420.24,647832.53
S005,2025-12,204386.57,852219.1
S005,2026-01,119803.57,972022.67
S005,2026-02,108564.1,1080586.77
S005,2026-03,140655.9,1221242.67
S005,2026-04,130232.57,1351475.24
S005,2026-05,149698.69,1501173.93
S005,2026-06,142893.4,1644067.33
S005,2026-07,110211.33,1754278.66
S006,2025-07,52754.46,52754.46
S006,2025-08,300994.62,353749.08
S006,2025-09,280502.21,634251.29
S006,2025-10,299904.11,934155.4
S006,2025-11,406459.77,1340615.17
S006,2025-12,414418.36,1755033.53
S006,2026-01,250222.51,2005256.04
S006,2026-02,228051.13,2233307.17
S006,2026-03,296064.28,2529371.45
S006,2026-04,286099.6,2815471.05
S006,2026-05,302341.59,3117812.64
S006,2026-06,286202.77,3404015.41
S006,2026-07,236896.63,3640912.04
S007,2025-07,53156.19,53156.19
S007,2025-08,299974.77,353130.96
S007,2025-09,292421.45,645552.41
S007,2025-10,292536.04,938088.45
S007,2025-11,409577.77,1347666.22
S007,2025-12,412125.27,1759791.49
S007,2026-01,247503.31,2007294.8
S007,2026-02,225893.57,2233188.37
S007,2026-03,299420.35,2532608.72
S007,2026-04,280611.06,2813219.78
S007,2026-05,302672.99,3115892.77
S007,2026-06,281401.06,3397293.83
S007,2026-07,238220.41,3635514.24
S008,2025-07,26627.06,26627.06
S008,2025-08,137269.68,163896.74
S008,2025-09,129398.08,293294.82
S008,2025-10,137396.79,430691.61
S008,2025-11,207889.11,638580.72
S008,2025-12,181657.78,820238.5
S008,2026-01,115552.62,935791.12
S008,2026-02,104061.59,1039852.71
S008,2026-03,138779.3,1178632.01
S008,2026-04,129821.1,1308453.11
S008,2026-05,134005.45,1442458.56
S008,2026-06,135628.55,1578087.11
S008,2026-07,108511.52,1686598.63
S009,2025-07,65560.82,65560.82
S009,2025-08,344204.76,409765.58
S009,2025-09,325259.3,735024.88
S009,2025-10,341847.64,1076872.52
S009,2025-11,472646.21,1549518.73
S009,2025-12,478853.1,2028371.83
S009,2026-01,276697.85,2305069.68
S009,2026-02,259818.11,2564887.79
S009,2026-03,349749.44,2914637.23
S009,2026-04,331124.4,3245761.63
S009,2026-05,351568.45,3597330.08
S009,2026-06,320731.85,3918061.93
S009,2026-07,277679.04,4195740.97
S010,2025-07,43412.52,43412.52
S010,2025-08,229026.58,272439.1
S010,2025-09,221634.75,494073.85
S010,2025-10,228696.02,722769.87
S010,2025-11,325316.73,1048086.6
S010,2025-12,311578.77,1359665.37
S010,2026-01,198417.68,1558083.05
S010,2026-02,179373.23,1737456.28
S010,2026-03,230369.12,1967825.4
S010,2026-04,217054.23,2184879.63
S010,2026-05,224199.79,2409079.42
S010,2026-06,220745.3,2629824.72
S010,2026-07,190884.62,2820709.34
