product_id,date,daily_units,moving_avg_7d
P0001,2025-07-26,58,58.0
P0001,2025-07-27,49,53.5
P0001,2025-07-28,53,53.33
P0001,2025-07-29,37,49.25
P0001,2025-07-30,57,50.8
P0001,2025-07-31,56,51.67
P0001,2025-08-01,68,54.0
P0001,2025-08-02,60,54.29
P0001,2025-08-03,76,58.14
P0001,2025-08-04,54,58.29
P0001,2025-08-05,46,59.57
P0001,2025-08-06,41,57.29
P0001,2025-08-07,56,57.29
P0001,2025-08-08,65,56.86
P0001,2025-08-09,58,56.57
P0001,2025-08-10,58,54.0
P0001,2025-08-11,40,52.0
P0001,2025-08-12,45,51.86
P0001,2025-08-13,39,51.57
P0001,2025-08-14,49,50.57
P0001,2025-08-15,60,49.86
P0001,2025-08-16,80,53.0
P0001,2025-08-17,62,53.57
P0001,2025-08-18,46,54.43
P0001,2025-08-19,50,55.14
P0001,2025-08-20,55,57.43
P0001,2025-08-21,37,55.71
P0001,2025-08-22,80,58.57
P0001,2025-08-23,67,56.71
P0001,2025-08-24,57,56.0
P0001,2025-08-25,52,56.86
P0001,2025-08-26,54,57.43
P0001,2025-08-27,45,56.0
P0001,2025-08-28,39,56.29
P0001,2025-08-29,63,53.86
P0001,2025-08-30,70,54.29
P0001,2025-08-31,62,55.0
P0001,2025-09-01,50,54.71
P0001,2025-09-02,67,56.57
P0001,2025-09-03,52,57.57
P0001,2025-09-04,54,59.71
P0001,2025-09-05,53,58.29
P0001,2025-09-06,60,56.86
P0001,2025-09-07,60,56.57
P0001,2025-09-08,54,57.14
P0001,2025-09-09,62,56.43
P0001,2025-09-10,28,53.0
P0001,2025-09-11,49,52.29
P0001,2025-09-12,61,53.43
P0001,2025-09-13,52,52.29
P0001,2025-09-14,62,52.57
P0001,2025-09-15,60,53.43
P0001,2025-09-16,45,51.0
P0001,2025-09-17,51,54.29
P0001,2025-09-18,46,53.86
P0001,2025-09-19,69,55.0
P0001,2025-09-20,75,58.29
P0001,2025-09-21,75,60.14
P0001,2025-09-22,37,56.86
P0001,2025-09-23,58,58.71
P0001,2025-09-24,63,60.43
P0001,2025-09-25,50,61.0
P0001,2025-09-26,66,60.57
P0001,2025-09-27,53,57.43
P0001,2025-09-28,68,56.43
P0001,2025-09-29,59,59.57
P0001,2025-09-30,49,58.29
P0001,2025-10-01,47,56.0
