date_key,date,year,quarter,month,month_name,year_month,day_of_week,is_weekend
20250726,2025-07-26,2025,3,7,July,2025-07,Saturday,True
20250727,2025-07-27,2025,3,7,July,2025-07,Sunday,True
20250728,2025-07-28,2025,3,7,July,2025-07,Monday,False
20250729,2025-07-29,2025,3,7,July,2025-07,Tuesday,False
20250730,2025-07-30,2025,3,7,July,2025-07,Wednesday,False
20250731,2025-07-31,2025,3,7,July,2025-07,Thursday,False
20250801,2025-08-01,2025,3,8,August,2025-08,Friday,False
20250802,2025-08-02,2025,3,8,August,2025-08,Saturday,True
20250803,2025-08-03,2025,3,8,August,2025-08,Sunday,True
20250804,2025-08-04,2025,3,8,August,2025-08,Monday,False
20250805,2025-08-05,2025,3,8,August,2025-08,Tuesday,False
20250806,2025-08-06,2025,3,8,August,2025-08,Wednesday,False
20250807,2025-08-07,2025,3,8,August,2025-08,Thursday,False
20250808,2025-08-08,2025,3,8,August,2025-08,Friday,False
20250809,2025-08-09,2025,3,8,August,2025-08,Saturday,True
20250810,2025-08-10,2025,3,8,August,2025-08,Sunday,True
20250811,2025-08-11,2025,3,8,August,2025-08,Monday,False
20250812,2025-08-12,2025,3,8,August,2025-08,Tuesday,False
20250813,2025-08-13,2025,3,8,August,2025-08,Wednesday,False
20250814,2025-08-14,2025,3,8,August,2025-08,Thursday,False
20250815,2025-08-15,2025,3,8,August,2025-08,Friday,False
20250816,2025-08-16,2025,3,8,August,2025-08,Saturday,True
20250817,2025-08-17,2025,3,8,August,2025-08,Sunday,True
20250818,2025-08-18,2025,3,8,August,2025-08,Monday,False
20250819,2025-08-19,2025,3,8,August,2025-08,Tuesday,False
20250820,2025-08-20,2025,3,8,August,2025-08,Wednesday,False
20250821,2025-08-21,2025,3,8,August,2025-08,Thursday,False
20250822,2025-08-22,2025,3,8,August,2025-08,Friday,False
20250823,2025-08-23,2025,3,8,August,2025-08,Saturday,True
20250824,2025-08-24,2025,3,8,August,2025-08,Sunday,True
20250825,2025-08-25,2025,3,8,August,2025-08,Monday,False
20250826,2025-08-26,2025,3,8,August,2025-08,Tuesday,False
20250827,2025-08-27,2025,3,8,August,2025-08,Wednesday,False
20250828,2025-08-28,2025,3,8,August,2025-08,Thursday,False
20250829,2025-08-29,2025,3,8,August,2025-08,Friday,False
20250830,2025-08-30,2025,3,8,August,2025-08,Saturday,True
20250831,2025-08-31,2025,3,8,August,2025-08,Sunday,True
20250901,2025-09-01,2025,3,9,September,2025-09,Monday,False
20250902,2025-09-02,2025,3,9,September,2025-09,Tuesday,False
20250903,2025-09-03,2025,3,9,September,2025-09,Wednesday,False
20250904,2025-09-04,2025,3,9,September,2025-09,Thursday,False
20250905,2025-09-05,2025,3,9,September,2025-09,Friday,False
20250906,2025-09-06,2025,3,9,September,2025-09,Saturday,True
20250907,2025-09-07,2025,3,9,September,2025-09,Sunday,True
20250908,2025-09-08,2025,3,9,September,2025-09,Monday,False
20250909,2025-09-09,2025,3,9,September,2025-09,Tuesday,False
20250910,2025-09-10,2025,3,9,September,2025-09,Wednesday,False
20250911,2025-09-11,2025,3,9,September,2025-09,Thursday,False
20250912,2025-09-12,2025,3,9,September,2025-09,Friday,False
20250913,2025-09-13,2025,3,9,September,2025-09,Saturday,True
20250914,2025-09-14,2025,3,9,September,2025-09,Sunday,True
20250915,2025-09-15,2025,3,9,September,2025-09,Monday,False
20250916,2025-09-16,2025,3,9,September,2025-09,Tuesday,False
20250917,2025-09-17,2025,3,9,September,2025-09,Wednesday,False
20250918,2025-09-18,2025,3,9,September,2025-09,Thursday,False
20250919,2025-09-19,2025,3,9,September,2025-09,Friday,False
20250920,2025-09-20,2025,3,9,September,2025-09,Saturday,True
20250921,2025-09-21,2025,3,9,September,2025-09,Sunday,True
20250922,2025-09-22,2025,3,9,September,2025-09,Monday,False
20250923,2025-09-23,2025,3,9,September,2025-09,Tuesday,False
20250924,2025-09-24,2025,3,9,September,2025-09,Wednesday,False
20250925,2025-09-25,2025,3,9,September,2025-09,Thursday,False
20250926,2025-09-26,2025,3,9,September,2025-09,Friday,False
20250927,2025-09-27,2025,3,9,September,2025-09,Saturday,True
20250928,2025-09-28,2025,3,9,September,2025-09,Sunday,True
20250929,2025-09-29,2025,3,9,September,2025-09,Monday,False
20250930,2025-09-30,2025,3,9,September,2025-09,Tuesday,False
20251001,2025-10-01,2025,4,10,October,2025-10,Wednesday,False
20251002,2025-10-02,2025,4,10,October,2025-10,Thursday,False
20251003,2025-10-03,2025,4,10,October,2025-10,Friday,False
20251004,2025-10-04,2025,4,10,October,2025-10,Saturday,True
20251005,2025-10-05,2025,4,10,October,2025-10,Sunday,True
20251006,2025-10-06,2025,4,10,October,2025-10,Monday,False
20251007,2025-10-07,2025,4,10,October,2025-10,Tuesday,False
20251008,2025-10-08,2025,4,10,October,2025-10,Wednesday,False
20251009,2025-10-09,2025,4,10,October,2025-10,Thursday,False
20251010,2025-10-10,2025,4,10,October,2025-10,Friday,False
20251011,2025-10-11,2025,4,10,October,2025-10,Saturday,True
20251012,2025-10-12,2025,4,10,October,2025-10,Sunday,True
20251013,2025-10-13,2025,4,10,October,2025-10,Monday,False
20251014,2025-10-14,2025,4,10,October,2025-10,Tuesday,False
20251015,2025-10-15,2025,4,10,October,2025-10,Wednesday,False
20251016,2025-10-16,2025,4,10,October,2025-10,Thursday,False
20251017,2025-10-17,2025,4,10,October,2025-10,Friday,False
20251018,2025-10-18,2025,4,10,October,2025-10,Saturday,True
20251019,2025-10-19,2025,4,10,October,2025-10,Sunday,True
20251020,2025-10-20,2025,4,10,October,2025-10,Monday,False
20251021,2025-10-21,2025,4,10,October,2025-10,Tuesday,False
20251022,2025-10-22,2025,4,10,October,2025-10,Wednesday,False
20251023,2025-10-23,2025,4,10,October,2025-10,Thursday,False
20251024,2025-10-24,2025,4,10,October,2025-10,Friday,False
20251025,2025-10-25,2025,4,10,October,2025-10,Saturday,True
20251026,2025-10-26,2025,4,10,October,2025-10,Sunday,True
20251027,2025-10-27,2025,4,10,October,2025-10,Monday,False
20251028,2025-10-28,2025,4,10,October,2025-10,Tuesday,False
20251029,2025-10-29,2025,4,10,October,2025-10,Wednesday,False
20251030,2025-10-30,2025,4,10,October,2025-10,Thursday,False
20251031,2025-10-31,2025,4,10,October,2025-10,Friday,False
20251101,2025-11-01,2025,4,11,November,2025-11,Saturday,True
20251102,2025-11-02,2025,4,11,November,2025-11,Sunday,True
20251103,2025-11-03,2025,4,11,November,2025-11,Monday,False
20251104,2025-11-04,2025,4,11,November,2025-11,Tuesday,False
20251105,2025-11-05,2025,4,11,November,2025-11,Wednesday,False
20251106,2025-11-06,2025,4,11,November,2025-11,Thursday,False
20251107,2025-11-07,2025,4,11,November,2025-11,Friday,False
20251108,2025-11-08,2025,4,11,November,2025-11,Saturday,True
20251109,2025-11-09,2025,4,11,November,2025-11,Sunday,True
20251110,2025-11-10,2025,4,11,November,2025-11,Monday,False
20251111,2025-11-11,2025,4,11,November,2025-11,Tuesday,False
20251112,2025-11-12,2025,4,11,November,2025-11,Wednesday,False
20251113,2025-11-13,2025,4,11,November,2025-11,Thursday,False
20251114,2025-11-14,2025,4,11,November,2025-11,Friday,False
20251115,2025-11-15,2025,4,11,November,2025-11,Saturday,True
20251116,2025-11-16,2025,4,11,November,2025-11,Sunday,True
20251117,2025-11-17,2025,4,11,November,2025-11,Monday,False
20251118,2025-11-18,2025,4,11,November,2025-11,Tuesday,False
20251119,2025-11-19,2025,4,11,November,2025-11,Wednesday,False
20251120,2025-11-20,2025,4,11,November,2025-11,Thursday,False
20251121,2025-11-21,2025,4,11,November,2025-11,Friday,False
20251122,2025-11-22,2025,4,11,November,2025-11,Saturday,True
20251123,2025-11-23,2025,4,11,November,2025-11,Sunday,True
20251124,2025-11-24,2025,4,11,November,2025-11,Monday,False
20251125,2025-11-25,2025,4,11,November,2025-11,Tuesday,False
20251126,2025-11-26,2025,4,11,November,2025-11,Wednesday,False
20251127,2025-11-27,2025,4,11,November,2025-11,Thursday,False
20251128,2025-11-28,2025,4,11,November,2025-11,Friday,False
20251129,2025-11-29,2025,4,11,November,2025-11,Saturday,True
20251130,2025-11-30,2025,4,11,November,2025-11,Sunday,True
20251201,2025-12-01,2025,4,12,December,2025-12,Monday,False
20251202,2025-12-02,2025,4,12,December,2025-12,Tuesday,False
20251203,2025-12-03,2025,4,12,December,2025-12,Wednesday,False
20251204,2025-12-04,2025,4,12,December,2025-12,Thursday,False
20251205,2025-12-05,2025,4,12,December,2025-12,Friday,False
20251206,2025-12-06,2025,4,12,December,2025-12,Saturday,True
20251207,2025-12-07,2025,4,12,December,2025-12,Sunday,True
20251208,2025-12-08,2025,4,12,December,2025-12,Monday,False
20251209,2025-12-09,2025,4,12,December,2025-12,Tuesday,False
20251210,2025-12-10,2025,4,12,December,2025-12,Wednesday,False
20251211,2025-12-11,2025,4,12,December,2025-12,Thursday,False
20251212,2025-12-12,2025,4,12,December,2025-12,Friday,False
